ph_h2o,x,y
4.400000095367432,662999,6871658
4.5,662175,6870364
3.799999952316284,664528,6872937
4.800000190734863,674170,6824697
4.699999809265137,673828,6825440
4.5,673885,6825840
4.099999904632568,672513,6825820
4.199999809265137,725558,7005309
4.400000095367432,672228,6825382
4.400000095367432,670970,6823782
4.300000190734863,671713,6824868
4.099999904632568,670762,6824411
5.400000095367432,669428,6824297
4.0,668456,6824754
4.400000095367432,668499,6824526
4.099999904632568,665828,6826182
4.5,662970,6824468
4.800000190734863,598839,6774140
4.300000190734863,719358,6999746
4.599999904632568,735282,7003595
6.199999809265137,606774,6770914
5.0,607761,6772076
4.900000095367432,602774,6772914
4.300000190734863,597355,6772656
6.0,248419,7052428
5.0,245931,7052801
5.400000095367432,248699,7053359
5.199999809265137,248792,7053963
4.900000095367432,730370,7004528
4.199999809265137,723509,6998312
4.599999904632568,729735,7009142
4.099999904632568,727056,7004689
5.599999904632568,246327,7054150
5.099999904632568,308345,7011945
6.199999809265137,306990,7010483
6.099999904632568,308021,7010182
6.099999904632568,307119,7010526
5.199999809265137,307420,7010397
5.199999809265137,308259,7010655
4.800000190734863,424381,6974391
4.599999904632568,421016,6975089
5.099999904632568,422317,6976962
5.199999809265137,420825,6972327
4.900000095367432,421333,6971597
4.599999904632568,730075,7008010
4.800000190734863,729555,7002528
4.900000095367432,421524,6970581
5.5,422888,6974000
5.400000095367432,420952,6970645
5.300000190734863,240369,7012366
4.5,723924,6997972
4.300000190734863,731999,7007309
4.5,729454,7005413
4.5,732155,7009361
4.5,726778,7004633
5.900000095367432,238106,7013062
6.0,237158,7013905
6.400000095367432,238211,7010431
6.599999904632568,237843,7012170
5.400000095367432,238580,7010852
5.400000095367432,433905,6989470
5.599999904632568,443302,6987438
4.599999904632568,437905,6989661
5.699999809265137,442222,6988899
4.599999904632568,440952,6988962
5.800000190734863,447047,6985788
5.199999809265137,441524,6987629
5.400000095367432,457329,7024415
4.900000095367432,723999,7002085
4.800000190734863,734980,7005670
5.5,731433,7007368
5.5,686036,7035347
5.099999904632568,683866,7031443
4.599999904632568,686504,7034764
5.5,684568,7032083
5.400000095367432,685738,7035521
5.099999904632568,685185,7037317
5.599999904632568,457263,7023890
5.5,455426,7022644
4.400000095367432,453689,7022711
6.5,457788,7020415
4.400000095367432,451951,7025137
4.300000190734863,452869,7026449
4.300000190734863,474201,7007856
4.5,473225,7011025
4.699999809265137,685951,7038381
5.199999809265137,684717,7032695
4.900000095367432,684547,7034304
4.699999809265137,476138,7022393
4.400000095367432,480388,7027018
4.800000190734863,479263,7021893
5.400000095367432,474826,7020643
4.599999904632568,476826,7021081
5.400000095367432,356665,7031442
3.799999952316284,358522,7031270
5.400000095367432,357951,7028241
5.099999904632568,355265,7034470
4.900000095367432,354579,7035073
5.599999904632568,353833,7034527
4.5,354008,7035270
5.800000190734863,239140,7000605
4.300000190734863,701361,7072851
5.099999904632568,469751,7011956
4.900000095367432,469151,7009406
5.300000190734863,471726,7006956
6.199999809265137,477751,7009006
4.599999904632568,469931,7009081
5.699999809265137,236870,7003415
5.800000190734863,237735,7003199
5.0,237356,7000172
4.900000095367432,239356,7003307
4.900000095367432,237843,6999469
4.0,694581,7086254
4.900000095367432,423278,7057589
4.699999809265137,496951,7094368
4.5,692335,7069665
5.599999904632568,373892,6994073
4.699999809265137,373294,6992765
5.900000095367432,373774,6995073
4.900000095367432,375480,6994309
5.0,375363,6993603
5.400000095367432,374598,6999073
5.300000190734863,373127,6995309
5.300000190734863,373539,6993838
5.900000095367432,373716,6993956
3.900000095367432,374598,6990662
5.0,374774,6989253
5.699999809265137,374539,6998750
5.099999904632568,372186,6991779
5.0,561065,6922041
4.900000095367432,554212,7022773
4.400000095367432,590852,7105183
3.900000095367432,585252,6955207
5.0,543403,6899094
5.099999904632568,622542,6881389
4.400000095367432,678869,6938299
5.0,585707,6914131
4.900000095367432,554234,7022822
4.199999809265137,529219,7019450
4.599999904632568,469915,7003514
5.099999904632568,443647,7047703
4.800000190734863,432632,7038574
4.5,390829,7029297
5.599999904632568,396486,7029101
4.599999904632568,475812,6967782
4.900000095367432,529052,6980025
4.800000190734863,541589,6972513
5.0,640621,6860758
4.599999904632568,637818,6806379
4.800000190734863,564806,6900298
4.800000190734863,439061,7039614
4.099999904632568,596698,6869372
4.900000095367432,632006,6862038
5.099999904632568,522579,6919747
4.800000190734863,287572,7072611
4.0,569313,6967904
4.599999904632568,609397,7109023
4.5,250035,7041363
5.199999809265137,507163,6994773
4.199999809265137,639736,6897673
5.0,298456,7008581
5.699999809265137,336440,6998554
4.699999809265137,537894,6981060
4.800000190734863,659614,6870607
4.699999809265137,658195,6822240
4.199999809265137,649001,6797439
4.800000190734863,688977,7024911
5.0,643835,7045374
4.900000095367432,701926,7019564
